Layer,Neuron,W1,W2,W3,W4,W5,W6,b,,,,,,,,,,,,
H1,1,-0.0865788,1.01641,-0.00598003,,,,-0.492533,,,,,,,,,,,,
H1,2,-7.23496,0.737913,-2.26281,,,,1.48985,,,,,,,,,,,,
H1,3,-0.0338331,0.158114,3.05037,,,,-2.2398,,,,,,,,,,,,
H1,4,-3.41487,0.37571,-0.204626,,,,0.922466,,,,,,,,,,,,
H1,5,0.540707,-0.0791082,-2.23702,,,,1.34818,,,,,,,,,,,,
H1,6,-0.0353044,-2.23754,-0.471608,,,,-1.07368,,,,,,,,,,,,
H2,1,-21.3733,-0.0236917,0.434947,-0.21592,-0.643754,-19.3941,-7.58181,,,,,,,,,,,,
H2,2,0.322344,1.79353,1.00824,0.120261,-1.62866,0.422037,-0.500257,,,,,,,,,,,,
H2,3,0.0529733,-0.730509,-0.163512,-1.6484,0.0670864,-0.122789,-0.92944,,,,,,,,,,,,
H2,4,-1.65886,-0.298154,-0.19585,0.284862,-0.212392,-6.44714,-0.221743,,,,,,,,,,,,
H2,5,-0.228048,1.03546,-1.58531,-1.26782,1.33969,0.538535,0.298348,,,,,,,,,,,,
H2,6,-0.320495,0.496057,-5.173,-2.07028,1.73484,1.01784,-3.97201,,,,,,,,,,,,
H3,1,10.5061,-2.33953,14.2321,-0.75236,0.89676,42.9964,-0.470998,,,,,,,,,,,,
H3,2,0.252308,-8.60E-05,3.16E-05,0.00387334,0.000442136,0.116368,0.000396124,,,,,,,,,,,,
H3,3,7.12256,-2.79748,-4.39712,-2.93053,0.333411,12.9509,-0.425689,,,,,,,,,,,,
H3,4,-4.10868,2.04821,2.05816,-0.278939,-1.48594,-10.3033,-1.11909,,,,,,,,,,,,
H3,5,-14.4751,-1.28978,-7.98552,2.33836,1.09992,-10.1329,2.00936,,,,,,,,,,,,
H3,6,-33.4691,0.653233,3.41471,1.67022,0.241869,2.39823,-1.36892,,,,,,,,,,,,
Output,1,0.467593,-2.12E-05,-0.285339,1.60905,-1.23256,-1.85222,2.53689,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
