Layer,Neuron,W1,W2,W3,W4,W5,W6,W7,W8,b
H1,1,0.0669127,17.8162,,,,,,,0.0493282
H1,2,5.91637,-0.612097,,,,,,,0.372003
H1,3,0.0112935,1.02647,,,,,,,-0.104926
H1,4,-4.44915,-2.97914,,,,,,,-0.723493
H1,5,0.438497,0.0799311,,,,,,,0.00165612
H1,6,-32.241,-0.0227621,,,,,,,-0.0710251
H1,7,0.331735,-6.91988,,,,,,,0.0914902
H1,8,-0.089948,5.8575,,,,,,,-0.256675
H2,1,0.877096,4.89431,-18.5782,-0.307071,2.71809,-2.30396,0.318714,-0.00157529,-1.55942
H2,2,0.839182,-0.0167954,0.325068,0.0413866,0.454125,9.35176,-0.876405,0.191721,-0.331464
H2,3,0.897724,-0.199374,-1.67207,-0.058359,0.174099,3.28868,-1.33709,-0.341017,-0.491816
H2,4,1.10004,-0.172933,0.592474,0.312535,0.385766,4.44931,-2.71657,0.204205,0.0619393
H2,5,0.387465,-0.175204,0.0276651,-0.0435596,-0.308138,1.60507,-0.00175288,0.0627427,-1.26679
H2,6,-0.701484,-0.0545187,-0.00496926,-3.51807,-0.352241,2.11862,2.0652,-16.8396,-4.7543
H2,7,-0.356635,-0.672749,2.75732,-0.339059,0.0103657,-0.53475,0.303841,0.564083,2.832
H2,8,0.250834,1.01254,-4.99616,-0.18458,0.366436,0.439277,-1.37884,0.493171,-0.877374
Output,1,1.67279,1.20782,-1.79246,1.45118,0.48231,2.03425,-2.25257,2.33625,-1.80716
